DEPTH;CAL;NPHI;DT;GR;RHOB;RLLD;RT;BS
64.925.000;97.036;-0.0216;671.325;136.890;20.850;77.089.629;14.521.349;0    9.2500
64.930.000;97.053;-0.0217;671.325;131.980;20.823;5.638.447;70.223.525;92.500
64.935.000;97.070;-0.0218;671.325;131.880;20.845;3.847.813;52.355.205;92.500
64.940.000;97.087;-0.0218;671.325;125.710;20.919;318.213;49.460.933;92.500
64.945.000;97.104;-0.0219;671.325;125.620;20.992;5.855.273;54.001.323;92.500
64.950.000;97.121;-0.0220;671.325;125.530;20.933;5.782.305;70.341.489;92.500
64.955.000;97.138;-0.0221;671.325;129.240;20.856;38.344.609;11.344.257;0    9.2500
64.960.000;97.155;-0.0221;671.324;131.430;20.851;60.601.201;13.169.298;0    9.2500
64.965.000;97.172;-0.0222;671.324;131.920;20.825;52.113.799;12.473.331;0    9.2500
64.970.000;97.189;-0.0223;671.324;137.330;20.736;77.728.125;14.573.706;0    9.2500
64.975.000;97.206;-0.0224;671.324;140.690;20.751;79.023.125;14.679.896;0    9.2500
64.980.000;97.223;-0.0224;671.324;143.220;20.764;67.730.840;13.753.928;0    9.2500
64.985.000;97.240;-0.0225;671.324;143.130;20.552;72.384.160;14.135.501;0    9.2500
64.990.000;97.257;-0.0226;671.324;141.360;20.549;77.849.473;14.583.656;0    9.2500
64.995.000;97.274;-0.0226;671.324;137.910;20.475;82.953.711;15.002.204;0    9.2500
65.000.000;97.291;-0.0227;671.324;140.330;20.608;79.933.633;14.754.557;0    9.2500
65.005.000;97.306;-0.0228;671.324;142.760;20.662;77.215.313;14.531.655;0    9.2500
65.010.000;97.326;-0.0229;671.324;142.670;20.659;74.538.047;14.312.120;0    9.2500
65.015.000;97.347;-0.0229;671.324;139.790;20.692;71.901.230;14.095.900;0    9.2500
65.020.000;97.367;-0.0228;671.324;136.410;20.595;69.562.168;13.904.097;0    9.2500
65.025.000;97.388;-0.0228;671.324;136.320;20.544;72.909.102;14.178.545;0    9.2500
65.030.000;97.408;-0.0227;671.324;135.210;20.664;76.705.430;14.489.844;0    9.2500
65.035.000;97.429;-0.0226;671.324;130.060;20.806;80.770.996;14.823.221;0    9.2500
65.040.000;97.449;-0.0226;671.324;129.970;20.874;79.125.469;14.688.288;0    9.2500
65.045.000;97.469;-0.0225;671.324;129.870;20.929;77.089.629;14.521.349;0    9.2500
65.050.000;97.490;-0.0226;671.324;129.790;20.953;75.076.914;14.356.306;0    9.2500
65.055.000;97.482;-0.0227;671.324;129.700;20.907;73.483.223;14.225.624;0    9.2500
65.060.000;97.446;-0.0228;671.324;129.600;20.745;76.267.383;14.453.924;0    9.2500
65.065.000;97.411;-0.0228;671.324;129.500;20.584;77.089.629;14.521.349;0    9.2500
65.070.000;97.375;-0.0229;671.324;135.510;20.474;76.550.156;14.477.112;0    9.2500
65.075.000;97.339;-0.0230;671.324;135.410;20.433;76.131.855;14.442.812;0    9.2500
65.080.000;97.298;-0.0231;671.324;135.320;20.457;75.715.410;14.408.663;0    9.2500
65.085.000;97.600;-0.0232;671.324;135.210;20.586;75.301.094;14.374.689;0    9.2500
65.090.000;97.906;-0.0233;671.324;129.060;20.744;74.887.754;14.340.795;0    9.2500
65.095.000;98.148;-0.0234;671.324;127.510;20.903;74.475.391;14.306.981;0    9.2500
65.100.000;98.500;-0.0234;671.324;119.910;20.965;74.066.055;14.273.416;0    9.2500
65.105.000;98.889;-0.0235;671.324;116.630;20.887;73.676.074;14.241.437;0    9.2500
65.110.000;98.938;-0.0236;671.324;116.530;20.816;73.300.664;14.210.654;0    9.2500
65.115.000;98.968;-0.0237;671.324;110.360;20.745;74.938.496;14.344.957;0    9.2500
65.120.000;99.000;-0.0238;671.324;110.270;20.673;51.366.270;12.412.034;0    9.2500
65.125.000;99.032;-0.0238;671.324;106.200;20.594;37.912.783;11.308.847;0    9.2500
65.130.000;99.065;-0.0239;671.324;104.000;20.494;72.432.461;14.139.461;0    9.2500
65.135.000;99.097;-0.0240;671.324;104.710;20.410;66.822.617;13.679.454;0    9.2500
65.140.000;99.100;-0.0241;671.324;112.130;20.464;80.977.754;14.840.175;0    9.2500
65.145.000;99.100;-0.0240;671.325;115.900;20.526;3.483.076;76.656.123;92.500
65.150.000;99.100;-0.0239;671.325;121.870;20.644;4.246.289;60.881.958;92.500
65.155.000;99.100;-0.0237;671.325;128.320;20.707;504.404;49.613.613;92.500
65.160.000;99.100;-0.0235;671.325;135.740;20.632;796.060;33.452.769;92.500
65.165.000;99.100;-0.0233;671.325;139.850;20.664;2.678.345;26.796.243;92.500
65.170.000;99.100;-0.0232;671.325;139.740;20.710;8.569.268;23.426.799;92.500
65.175.000;99.100;-0.0230;671.325;139.670;20.721;1.639.517;25.944.404;92.500
65.180.000;99.100;-0.0228;671.325;139.570;20.696;4.350.503;36.367.412;92.500
65.185.000;99.100;-0.0226;671.325;139.480;20.684;6.640.459;71.045.176;92.500
65.190.000;99.100;-0.0225;671.325;139.390;20.697;26.129.590;10.342.626;0    9.2500
65.195.000;99.100;-0.0223;671.324;139.300;20.749;57.448.770;12.910.798;0    9.2500
65.200.000;99.100;-0.0221;671.324;133.130;20.917;80.305.313;14.785.035;0    9.2500
65.205.000;99.100;-0.0220;671.324;133.040;21.067;70.046.973;13.943.851;0    9.2500
65.210.000;99.100;-0.0218;671.324;137.030;21.147;74.123.359;14.278.115;0    9.2500
65.215.000;99.110;-0.0206;671.324;145.010;21.353;76.662.793;14.486.348;0    9.2500
65.220.000;99.203;-0.0185;671.324;157.960;21.635;47.695.732;12.111.049;0    9.2500
65.225.000;99.297;-0.0158;671.324;163.070;21.944;28.898.857;10.569.706;0    9.2500
65.230.000;99.391;-0.0129;671.325;162.980;22.501;27.853.330;10.483.972;0    9.2500
65.235.000;99.484;-0.0100;671.325;156.800;23.610;9.056.992;73.026.733;92.500
65.240.000;99.580;-0.0070;671.325;150.640;25.304;8.431.484;64.313.818;92.500
65.245.000;99.670;-0.0041;671.326;148.560;27.172;5.115.898;28.795.037;92.500
65.250.000;99.913;-0.0025;671.326;144.380;28.485;8.441.938;15.122.389;92.500
65.255.000;99.901;-0.0009;671.327;138.190;28.833;8.695.845;7.130.593;92.500
65.260.000;99.900;0.0007;671.393;138.330;28.975;5.538.790;4.541.808;92.500
65.265.000;99.877;0.0004;671.862;145.760;29.298;2.435.532;10.197.136;92.500
65.270.000;99.797;-0.0012;672.638;156.270;29.145;8.870.219;7.273.580;92.500
65.275.000;99.718;-0.0029;673.897;166.680;28.848;7.545.818;6.187.571;92.500
65.280.000;99.638;-0.0009;675.571;180.300;28.579;6.133.289;5.029.297;92.500
65.285.000;99.559;0.0011;677.502;188.920;28.493;4.071.939;3.338.990;92.500
65.290.000;99.479;0.0026;679.502;203.860;28.488;2.188.318;1.830.742;92.500
65.295.000;99.400;0.0026;681.522;214.610;28.305;1.146.138;990.839;92.500
65.300.000;99.321;0.0018;683.003;222.490;28.081;1.069.342;927.608;92.500
65.305.000;99.241;0.0025;684.061;223.380;28.041;1.037.682;901.448;92.500
65.310.000;99.162;0.0041;684.640;228.390;28.067;1.294.906;1.112.500;92.500
65.315.000;99.082;0.0057;684.847;224.440;27.990;1.842.820;1.555.191;92.500
65.320.000;99.003;0.0073;684.846;222.120;28.126;2.624.460;2.174.880;92.500
65.325.000;98.923;0.0095;684.834;222.040;27.907;3.738.970;3.065.956;92.500
65.330.000;98.975;0.0233;684.708;221.950;27.300;4.443.521;3.643.687;92.500
65.335.000;99.125;0.0413;685.162;221.850;26.626;3.055.282;2.511.930;92.500
65.340.000;99.275;0.0592;686.103;221.750;25.875;1.397.780;1.196.327;92.500
65.345.000;99.425;0.0467;688.741;222.290;25.124;435.353;394.560;92.500
65.350.000;99.500;0.0330;693.057;237.230;25.334;365.073;333.666;92.500
65.355.000;99.386;0.0187;698.740;255.360;25.515;367.387;335.640;92.500
65.360.000;99.157;0.0354;705.311;324.720;24.878;541.085;485.190;92.500
65.365.000;98.929;0.0639;712.082;373.280;24.366;2.474.995;2.057.209;92.500
65.370.000;98.700;0.0925;718.370;412.500;23.914;3.700.608;3.034.499;92.500
65.375.000;98.471;0.1319;724.145;427.430;23.608;1.279.965;1.099.929;92.500
65.380.000;98.243;0.1729;728.114;429.510;23.301;621.779;389.910;92.500
65.385.000;98.014;0.2140;731.526;421.550;23.000;302.047;167.158;92.500
65.390.000;98.283;0.2507;739.547;413.220;22.842;166.746;81.671;92.500
65.395.000;99.052;0.2818;754.034;405.650;22.754;104.611;47.629;92.500
65.400.000;99.838;0.3090;779.333;456.570;22.524;66.441;29.315;92.500
65.405.000;100.978;0.3281;806.461;589.340;22.292;47.126;20.423;92.500
65.410.000;103.332;0.3366;833.530;720.330;22.005;37.653;16.166;92.500
65.415.000;107.387;0.3482;860.880;797.890;21.469;36.328;15.708;92.500
65.420.000;113.174;0.3615;885.199;842.680;21.321;37.070;16.151;92.500
65.425.000;118.965;0.3745;902.960;876.660;21.746;41.373;18.289;92.500
65.430.000;125.525;0.3869;913.077;925.130;22.370;43.708;19.430;92.500
65.435.000;118.786;0.3967;913.077;979.890;23.109;32.512;14.351;92.500
65.440.000;108.666;0.2972;913.077;1.036.220;23.333;35.110;15.227;92.500
65.445.000;98.565;0.2321;913.077;1.088.750;23.492;46.693;20.149;92.500
65.450.000;97.655;0.3006;913.077;1.113.220;23.185;44.524;19.131;92.500
65.455.000;98.893;0.3330;901.824;1.088.990;23.062;39.221;16.759;92.500
65.460.000;99.688;0.3106;882.841;985.530;23.349;30.921;13.284;92.500
65.465.000;99.907;0.2542;869.309;905.080;23.697;24.377;10.541;92.500
65.470.000;99.801;0.2417;855.276;835.460;23.932;21.946;0.9515;92.500
65.475.000;99.710;0.2456;840.876;783.650;23.886;23.841;10.313;92.500
65.480.000;99.879;0.2589;827.457;742.000;23.928;29.916;12.867;92.500
65.485.000;100.081;0.2756;814.305;720.660;24.320;38.579;16.500;92.500
65.490.000;100.214;0.2870;813.689;700.450;24.479;36.160;15.474;92.500
65.495.000;101.333;0.2574;818.634;689.220;25.095;33.221;14.278;92.500
65.500.000;102.297;0.2073;817.099;680.840;25.880;34.367;14.776;92.500
65.505.000;102.156;0.1616;815.188;687.510;27.201;37.188;15.945;92.500
65.510.000;101.741;0.1160;813.462;692.830;27.581;44.938;19.443;92.500
65.515.000;101.334;0.0703;809.695;689.190;27.765;56.835;24.908;92.500
