,DEPTH,CAL,NPHI,DT,GR,RHOB,RLLD,RT,BS,positive_flag,negative_flag,RLLD_log
3061,4384.5,10.6763,0.1265,60.0035,75.217,2.6594,43.4143,39.771,9.25,,,3.7707888799229905
3062,4385.0,10.686,0.1245,58.8556,77.098,2.6709,43.8089,40.1166,9.25,,,3.779836993087851
3063,4385.5,10.6956,0.1218,58.4167,79.932,2.6472,44.5159,40.7339,9.25,,,3.7958464287253326
3064,4386.0,10.7053,0.1178,58.9502,82.474,2.6862,44.9591,41.1213,9.25,,,3.8057531875914825
3065,4386.5,10.7093,0.1089,61.4287,85.904,2.6747,45.4066,41.5112,9.25,,,3.8156574689308003
3066,4387.0,10.7081,0.0956,63.7987,89.784,2.6514,45.8587,41.9037,9.25,,,3.8255649298844903
3067,4387.5,10.7068,0.09,65.9483,92.896,2.6605,46.2018,42.2014,9.25,,,3.8330187583676927
3068,4388.0,10.7056,0.1001,67.7921,97.131,2.6444,46.2018,42.2011,9.25,,,3.8330187583676927
3069,4388.5,10.7043,0.111,69.2432,100.475,2.6536,46.2018,42.2007,9.25,,,3.8330187583676927
3070,4389.0,10.703,0.1218,70.2823,104.355,2.6634,46.2018,42.2004,9.25,,,3.8330187583676927
3071,4389.5,10.7017,0.1248,70.5894,106.175,2.6636,46.2018,42.2001,9.25,,,3.8330187583676927
3072,4390.0,10.7005,0.1208,70.3491,103.677,2.6795,47.7689,43.5594,9.25,,,3.866374800132349
3073,4390.5,10.6992,0.1091,70.0214,96.7,2.6896,50.2198,45.6811,9.25,,,3.916409371244408
3074,4391.0,10.6979,0.0996,69.6666,89.747,2.6882,52.7965,47.9058,9.25,,,3.9664449006362896
3075,4391.5,10.6967,0.1044,69.36,88.499,2.7014,54.1035,49.0319,9.25,,,3.990898878769046
3076,4392.0,10.6954,0.1171,69.0328,87.915,2.675,54.0934,49.0228,9.25,,,3.9907121821071394
3077,4392.5,10.6941,0.1316,68.782,88.534,2.6819,50.7955,46.1773,9.25,,,3.9278077679835937
3078,4393.0,10.6929,0.1452,68.8329,89.574,2.669,48.4865,44.1792,9.25,,,3.8812854086812787
3079,4393.5,10.6916,0.1503,68.8668,90.333,2.659,46.5938,42.5377,9.25,,,3.841467485069735
3080,4394.0,10.6902,0.1466,68.8968,91.064,2.67,48.1378,43.8764,9.25,,,3.874067731269102
3081,4394.5,10.6931,0.1373,68.8008,91.54,2.6734,50.0331,45.5177,9.25,,,3.912684786402804
3082,4395.0,10.6973,0.1258,68.5151,91.125,2.6515,51.7631,47.0133,9.25,,,3.9466775402075487
3083,4395.5,10.7015,0.1139,68.1307,89.706,2.646,52.6095,47.7446,9.25,,,3.9628967118009557
3084,4396.0,10.7057,0.0997,67.6556,87.454,2.6476,50.258,45.7146,9.25,,,3.917169738247676
3085,4396.5,10.7092,0.096,67.6152,84.155,2.6253,39.4889,36.3479,9.25,,,3.6760196197573927
3086,4397.0,10.7355,0.1006,67.662,82.27,2.6252,30.1505,28.053,9.25,,,3.4062015067836127
3087,4397.5,10.7671,0.1082,67.7765,80.569,2.6383,23.0205,21.6328,9.25,,,3.136385123301122
3088,4398.0,10.7993,0.1179,67.5263,80.522,2.5986,18.3933,17.4285,9.25,,,2.9119864678685725
3089,4398.5,10.801,0.1294,67.7697,79.769,2.5893,18.1567,17.2125,9.25,,,2.899039638598746
3090,4399.0,10.7878,0.1324,68.1188,79.015,2.604,22.2333,20.9224,9.25,,,3.10159116500197
3091,4399.5,10.774,0.1241,68.3135,78.168,2.6204,28.5031,26.5806,9.25,,,3.350012853289192
3092,4400.0,10.7691,0.115,68.1251,77.264,2.6073,34.0928,31.5862,9.25,,,3.5290862183004883
3093,4400.5,10.7673,0.1116,67.8664,76.36,2.6147,33.4682,31.0281,9.25,,,3.5105957342730325
3094,4401.0,10.7654,0.1131,67.57,75.456,2.6001000000000003,28.6348,26.6973,9.25,,,3.354622761361852
3095,4401.5,10.7636,0.1083,67.8718,74.552,2.5979,24.4995,22.9704,9.25,,,3.1986527091791666
3096,4402.0,10.7618,0.1058,67.4203,73.648,2.5908,21.3717,20.1359,9.25,,,3.0620676169391716
